%time,field.header.seq,field.header.stamp,field.header.frame_id,field.bumper,field.cliff,field.sonar,field.illumination,field.led,field.button,field.torque,field.left_encoder,field.right_encoder,field.battery
1587292507263731585,28021,1587292507271363937,,2,119.0,0.0,404.0,0,0,1,9497,7390,11.9499998093
1587292507313240127,28022,1587292507306363937,,2,136.0,0.0,474.0,0,0,1,9532,7424,11.970000267
1587292507329523564,28023,1587292507339363937,,2,138.0,0.0,517.0,0,0,1,9565,7457,11.970000267
1587292507371318877,28024,1587292507374363937,,2,137.0,0.0,441.0,0,0,1,9599,7491,11.970000267
1587292507404216949,28025,1587292507422363937,,2,137.0,0.0,413.0,0,0,1,9646,7537,11.9799995422
1587292507446463043,28026,1587292507455363937,,2,117.0,0.0,481.0,0,0,1,9680,7570,11.970000267
1587292507485514710,28027,1587292507488363937,,2,119.0,0.0,418.0,0,0,1,9713,7602,11.970000267
1587292507511696168,28028,1587292507523363937,,2,118.0,0.0,418.0,0,0,1,9748,7637,11.970000267
1587292507551170647,28029,1587292507558363937,,2,118.0,0.0,392.0,0,0,1,9780,7673,11.970000267
1587292507590521741,28030,1587292507591363937,,2,138.0,0.0,379.0,0,0,1,9814,7705,11.970000267
1587292507608695179,28031,1587292507624363937,,2,139.0,0.0,399.0,0,0,1,9848,7739,11.9499998093
1587292507653375491,28032,1587292507657363937,,2,118.0,0.0,386.0,0,0,1,9880,7770,11.970000267
1587292507692186168,28033,1587292507690363937,,2,81.0,0.0,395.0,0,0,1,9912,7802,11.970000267
1587292507711730543,28034,1587292507724363937,,2,81.0,0.0,472.0,0,0,1,9947,7836,11.970000267
1587292507753765543,28035,1587292507757363937,,2,137.0,0.0,421.0,0,0,1,9979,7871,11.9499998093
1587292507789131741,28036,1587292507805363937,,2,120.0,0.0,499.0,0,0,1,10028,7918,11.970000267
1587292507831166585,28037,1587292507838363937,,2,136.0,0.0,443.0,0,0,1,10060,7951,11.970000267
1587292507872687731,28038,1587292507871363937,,2,81.0,0.0,496.0,0,0,1,10091,7985,11.970000267
1587292507889643824,28039,1587292507904363937,,2,117.0,0.0,457.0,0,0,1,10123,8017,11.970000267
1587292507932717158,28040,1587292507937363937,,2,80.0,0.0,413.0,0,0,1,10157,8049,11.970000267
1587292507965634137,28041,1587292507983363937,,2,81.0,0.0,409.0,0,0,1,10203,8095,11.9799995422
1587292508008532783,28042,1587292507994172103,,2,117.0,0.0,395.0,0,0,1,10237,8130,11.970000267
1587292508051480387,28043,1587292508027172103,,2,165.0,0.0,469.0,0,0,1,10270,8164,11.970000267
1587292508069449762,28044,1587292508064172103,,2,136.0,0.0,443.0,0,0,1,10306,8200,11.9799995422
1587292508118844345,28045,1587292508097172103,,2,138.0,0.0,411.0,0,0,1,10338,8234,11.970000267
1587292508157401168,28046,1587292508130172103,,2,139.0,0.0,394.0,0,0,1,10370,8265,11.9799995422
1587292508175973772,28047,1587292508170172103,,2,137.0,0.0,388.0,0,0,1,10411,8304,11.970000267
